PII nr 0 True entity idx (action) in pool: 0 
 Action 1, score:  0.000248280527011957
 Action 3, score:  0.0002474972949130461
 Action 4, score:  0.00024710073776077477
 Action 1, score:  0.00024659574628458356
 Action 3, score:  0.0002468975799274631
 Action 3, score:  0.00024688724734005517
 Action 0, score:  0.00024708126948098653
 Action 5, score:  0.0002469846323947422
 Action 3, score:  0.00024710925063118336
 Action 3, score:  0.0002470102408551611
 Action 3, score:  0.0002473426808137447
 Action 3, score:  0.00024724811664782463
 Action 0, score:  0.0002473406049830373
 Action 1, score:  0.00024728629359742625
 Action 0, score:  0.00024717148480704056
 Action 3, score:  0.00024722806338104417
 Action 1, score:  0.0002471719388267957
 Action 3, score:  0.0002472803520504385
 Action 3, score:  0.00024724014365347103
 Action 0, score:  0.00024725313123781235
 Action 4, score:  0.0002472576998115983
 Action 2, score:  0.0002472118299920112
 Action 0, score:  0.0002472578278684523
 Action 3, score:  0.0002472448832122609
 Action 3, score:  0.00024730562945478595
 Action 3, score:  0.0002472188018145971
 Action 3, score:  0.00024726249248487877
 Action 0, score:  0.0002472974978445563
 Action 3, score:  0.00024724069007788787
 Action 3, score:  0.00024725276889512313
 Action 0, score:  0.0002472451218636706
 Action 3, score:  0.0002472575317369774
 Action 0, score:  0.0002472633685101755
 Action 3, score:  0.0002472644941008184
 Action 0, score:  0.00024726237752474843
 Action 0, score:  0.00024726341653149577
 Action 0, score:  0.00024726365300011823
 Action 2, score:  0.0002472638268955052
 Action 3, score:  0.0002472636704624165
 Action 0, score:  0.0002472639491315931
 Action 0, score:  0.00024726341653149577
 Action 3, score:  0.0002472637133905664
 Action 2, score:  0.0002472638072504196
 Action 4, score:  0.0002472636908350978
 Action 5, score:  0.00024726370393182153
 Action 0, score:  0.0002472638356266543
 Action 5, score:  0.00024726362971705385
 Action 0, score:  0.00024726365008973514
 Action 0, score:  0.00024726395859033803
 Action 0, score:  0.0002472639440384228
 Action 3, score:  0.0002472635613230523
 Action 0, score:  0.0002472639724146575
 Action 3, score:  0.0002472637337632477
 Action 0, score:  0.00024726378615014255
 Action 1, score:  0.000247263671917608
 Action 0, score:  0.0002472638072504196
 Action 3, score:  0.00024726381670916455
 Action 3, score:  0.00024726414631004445
 Action 1, score:  0.0002472638872859534
 Action 3, score:  0.0002472634289006237
 Action 1, score:  0.0002472636268066708
 Action 0, score:  0.00024726381016080266
 Action 3, score:  0.00024726391420699657
 Action 3, score:  0.0002472636981110554
 Action 0, score:  0.00024726366027607585
 Action 0, score:  0.00024726388801354915
 Action 0, score:  0.0002472639411280397
 Action 0, score:  0.0002472638530889526
 Action 3, score:  0.0002472637606842909
 Action 0, score:  0.0002472636588208843
 Action 0, score:  0.00024726384508539924
 Action 0, score:  0.00024726341871428303
 Action 0, score:  0.0002472636893799063
 Action 0, score:  0.00024726399788050913
PII nr 4 True entity idx (action) in pool: 0 
 Action 5, score:  9.844795749813784e-05
 Action 3, score:  0.00010477513751538936
 Action 0, score:  0.00033088890631916
 Action 4, score:  9.54476599872578e-05
 Action 4, score:  9.453786454590347e-05
 Action 2, score:  9.304870036430657e-05
 Action 0, score:  9.11339811864309e-05
 Action 2, score:  0.00010027426954669257
 Action 3, score:  9.166115861652153e-05
 Action 2, score:  9.619164484320208e-05
 Action 1, score:  8.846113373043149e-05
 Action 1, score:  9.331717592431232e-05
 Action 5, score:  8.951139794329979e-05
 Action 5, score:  9.073410079249047e-05
 Action 0, score:  9.221923599917708e-05
 Action 5, score:  9.053553263324179e-05
 Action 1, score:  9.218646716492782e-05
 Action 1, score:  9.023000581821959e-05
 Action 2, score:  9.204660766824548e-05
 Action 1, score:  9.204424713971093e-05
 Action 1, score:  9.026815886110333e-05
 Action 3, score:  9.125377671028088e-05
 Action 4, score:  9.010881227108516e-05
 Action 1, score:  9.075654088519514e-05
 Action 1, score:  9.215525330676298e-05
 Action 3, score:  9.116754621832765e-05
 Action 3, score:  9.048620164061763e-05
 Action 3, score:  9.012678908350478e-05
 Action 2, score:  8.992143349522459e-05
 Action 1, score:  9.033935306693561e-05
 Action 3, score:  9.044305625138804e-05
 Action 3, score:  9.049237061325195e-05
 Action 0, score:  9.044756630568631e-05
 Action 3, score:  9.04466089975488e-05
 Action 1, score:  9.045864135259762e-05
 Action 1, score:  9.047928532319409e-05
 Action 3, score:  9.045989593557482e-05
 Action 1, score:  9.046806787539805e-05
 Action 4, score:  9.044417778828315e-05
 Action 4, score:  9.047206965208585e-05
 Action 3, score:  9.046690372217978e-05
 Action 4, score:  9.045768300503758e-05
 Action 0, score:  9.045185912067868e-05
 Action 0, score:  9.047594150095912e-05
